,corrected
38,التخصص في الشريعة ، بسم الله الرحمن ، الرحيم الحمد لله رب العالمين ، والصلاة والسلام على أشرف الأنبياء والمرسلين وعلى آله وصحبه ومن تبعهم وسلك نهجهم وسار على طريقهم بإحسان إلى يوم الدين . وبعد ، فبنعمة من الله جل وعلا أنني وجدت فرصة  للدراسة في هذه الجامعة جامعة الإمام محمد بن ، سعود الإسلامية مع أن كثيرا من إخواننا في بلدنا يحاولون  الدراسة في هذه الجامعة العريقة . وقد أنهيت سنتين تقريبا في معهد تعليم اللغة العربية ، واستفدت أكثر الاستفادات وتطورت مهارات اللغة العربية عندي ولله الحمد والمنة . وبعد إكمال دراستي في الدبلوم سأحاول أن أتخصص في الشريعة في كلية الشريعة ، وهناك أسباب كثيرة لاختياري هذا التخصص ، منها أنه لا يوجد في بلدنا أحد ممن تخصص في الشريعة ، وكل من يدرس في الجامعات يتخصص في أصول الدين والاقتصاد وغير ذلك . وتشاورت مع زملائي الذين ، يدرسون في هذه الجامعة والأساتذة الذين ، درسوني في المدارس في بلدي والعلماء الكبار في بلدي حول هذه القضية المهمة ، وأشاروا إلي إلى أهمية هذا التخصص لأن بلدنا بلد بوذية ، والمسلمون هنا أقل من % 10 ، وللأسف أن كثيرا من المسلمين أيضا غير متدينين لأنهم لا يعرفون الإسلام جيدا .
39,الرحلة إلى مكة . كنا قد قضينا الرحلة إلى مكة مع الجامعة لأداء الحج والعمرة  في السنة الماضية ، وحينما وصلنا الميقات توقفنا هناك واغتسلنا ولبسنا ملابس الإحرام ، ثم اتجهنا إلى مكة ودخلنا المسجد الحرام ، ثم طفنا حول الكعبة سبعة أشواط ، حينما من انتهينا الطواف صلينا خلف مقام إبراهيم عليه السلام ركعتين ، ثم سعينا بين الصفا والمروة ، سبعة أشواط وبعد ذلك  استرحنا قليلا وشربنا ماء زمزم ، ثم حلقنا رؤوسنا وبعد ذلك أكلنا الطعام في مطعم قريب من المسجد الحرام ، ثم ذهبنا مع الجميع إلى فندق قريب من المبنى ونمنا هناك وكنا مسرورين في ذلك الوقت لأننا  أول مرة ، نذهب إلى مكة المكرمة وشعرنا بفرح شديد جدا وأشكر الله سبحانه وتعالى قد ، حججنا مع الجامعة بدون قيود الحمد لله والشكر لله . والآن سيأتي عيد الأضحى وأتمنى أن أذهب ؛ هناك لأداء الحج نيابة عن أمي لأن أمي قد ماتت عندما كنت صغيرا لأن ، في بلداننا بعضنا لا ، يستطيعون ، الحج والعمرة والسبب الحاجة إلى النقود الكثيرة والقيود صعبة والآن فرصة لنا ولجميع الطلاب فلابد أن نذهب هناك لأن لأنه كنا في بلادنا ربما لا نستطيع الذهاب إلى مكة ؛ لأن النقود لا يكفي تكفي
40,اختياري تخصص الشريعة . أدعو الله سبحانه وتعالى أن يجعل المسلمين والمسلمات في ميزان الحسنات وأن يرزقنا عملا نافعا ؛ لأني أفضل علم الشريعة لأكون في المستقبل داعيا إلى ، الله ومعلم أولاد المسلمين أمور الدين لتكون كلمة الله العليا . ليبقى الدين على . الأرض سالما
41,التخصص الذي أريده في المستقبل كلية اللغة العربية : - أريد أن أتخصص بكلية اللغة العربية ؛ لأن اللغة العربية هي التي نزل بها القرآن ، الكريم وفيها فصاحة وبلاغة تعجز فصحاء ، العرب وشعراءها والله سبحانه وتعالى يتحدى أصحاب اللغة العربية أن يأتوا بمثل هذا القرآن ، ولكنهم . ما استطاعوا ولن يستطيعوا إذن هو كلام الله تبارك وتعالى فلابد لنا أن نتعلم اللغة العربية لكى لكي اللغة العربية ونفهم ديننا الإسلام . وبلدى وبلدي يحتاج كثيرا أن يتعلم اللغة العربيه العربية ، لكي أهلها ديينا ديننا السمح مقصودنا في الدنيا لكى لكي بالجنة .
42,السفر إلى بلدي . سافرت إلى بلدي قبل سنة مع صديقي بعد نهاية ، الاختبارات أولا سافرنا ، إلى تركيا مكثنا تقريبا ، يوما ، في الفندق كان مريحا أيضا خرجنا من الفندق إلى ، الخارج واشترينا ملابس وأكلنا الطعام أيضا ذهبنا مع صديقي إلى مكان خطير حيث يبيعون المواد المخدرة وجاءت الشرطة ، وأخذت : منا التذاكر ؟ والتأشيرة : وجواز السفر وقالت لنا ، ماذا تفعلون هنا وأنا قلت نحن ، جئنا ، للسياحة وأخذنا ، كليتنا عندما ، حان وقت السفر ذهبنا ، إلى الفندق وأخذنا الحقائب وذهبنا إلى المطار وركبنا في الطائرة وكانت . هذه الرحلة خمس ساعات ووصلنا إلى البلد واستقبلنا الأب والأم وكنا مسرورين جدا وجاء أصديقائي وهكذا
43,صمت في المملكة . نعمة من ، الله في العطلة سافرت إلى بلادي أول الشهر ، وبعد عودتي إلى المملكة العربية السعودية  صمت فيها ، كنت أسكن  خارج الجامعة مع صديقي ، وأطبخ في الصباح ، ، ونأكل السحور وفي النهار نركب السيارة إلى أماكن كثيرة الأماكن في الرياض لنشاهدها ، وفي الليل نصلي في مساجد الرياض مثل : الشيخ الكلباني ، والشيخ ياسر القاضي ، وفي مسجد الملك من عبد الله ، . أتعجب هؤلاء القارئين هم ، يقرؤون القرآن الكريم بمهارة ومتعة أتعجب من صلاة الترويح . ، في هذا الشهر أشعر بالسلامة والهدوء وأيضا في وقت أكل الفطور أنتظر أشخاصا من دولة غير السعودية صاروا في المملكة ، آكل معهم فيها ونصوم وندعو ، في العشرة الأخيرة من عشرة الشهر سافرت إلى مكة لأعتمر ، وركبت بالحافلة ، في السفر تعب لأن وقت السفر ، شديد طويل . ، بقيت في على مكة خمسة أيام الازدحام في المسجد الحرام الناس حمدوا الله نعمته ، بعض الناس ماتوا في المسجد ؛ الحرام ، أتمنى كل وقت أن أسكن ، هناك فيها ولكن لا أستطيع لأني سافرت وحيدا وأخاف أن أستصعب  العيش بعد ذلك عدت إلى جامعتي ورتبت مسكني وبدأت الدراسة .
44,التخصص الذي أريده . هناك طلاب يريد كل واحد منهم أن يتخصص في أي دراسة يريدها . فأما أنا أريد أن أتخصص في اللغة العربية لأن بلدي يحتاج إلى من تخصص باللغة العربية ، ولأن هناك من يتكلمون اللغة العربية خطأ ، ويدرسونها خطأ ، فأريد أن أجعل في بلدي من يحسن اللغة العربية لأنها لغة القرآن والسنة . فشأن اختياري التخصص في اللغة العربية أن في بلدي من تخصص في علوم الحاسب والشريعة وغير ذلك . فالله ولي التوفيق ، أسأل الله العافية والسداد في الدارين .
45,"تخصصي في المستقبل . الحمد لله رب العالمين والصلاة والسلام على أشرف الأنبياء والمرسلين أما بعد . . . كنت أدرس في مدرسة حكومية وشرح الله صدري أن أتعلم اللغة العربية ، بعدما أنهيت الثانوية دخلت المدرسة العربية في بلدي كي أفهم القرآن الكريم والسنة النبوية . حينما بدأت دراستي العربية واجهت الصعوبات في أولها ولكن سهل لي الله بعد فترة . كما يقول سبحانه : وتعالى "" إن مع العسر يسرا "" . وخلال دراستي العربية شاركت في مقابلة في هذه الجامعة العريقة وبعون الله قبلت ولم أكن أتوقع ،  قبولي ورزقني الله من حيث لا أحتسب الحمد لله . . . ولما جئت لهذه إلى هذه دخلت في إلى تعليم اللغة العربية في مستوى المستوى ، الآن في الدبلوم الأول . قد فكرت أن أجعل تخصصي في مجال الشريعة لأنني ذو حاجة في ، إلى الشريعة وكذلك ليس في قريتي أحد تخصص في الشريعة كي يدرس ، ويساعد أهل قريتي وأساعدهم وأبلغهم ما عندي من المعلومات الجيدة مطيعا لقول النبي صلى الله عليه وسلم : "" بلغوا عني ولو آية "" . إن شاء الله تعالى . . . ."
46,رحلة من الصين إلى المملكة العربية السعودية . في سنة 1433 هـ ، كنت أدرس في معهد دراسات الإسلامية الصين . عرفت أنني مقبول بجامعة الإمام محمد بن سعود الإسلامية خلال ، الدراسة بعد ذلك أستعديت لهذه الرحلة ، ومعي أصدقائي هم مقبولون أيضا . يوم 30 من سبتمبر ، بدأنا في ، هذه الرحلة أولا ركبنا بالطائرة من مدينة كنسغ منغ إلى ، مدينة كينوا بالصين ثم إلى مدينة الرياض عاصمة المملكة العربية السعودية ، هذه كانت الرحلة إلى بلد أخرى الرحلة الأولى بالنسبة إلينا ، هذه فرصة لنعرف العالم . ، قبل ذلك ما ركبنا بالطائرة من وقت ، الصعود وخلال هذا الوقت واجهتنا ، الصعوبات ولكن  ساعد بعضنا  بعضا ، الحمد لله ، الله حفظنا في . هذه الرحلة وصلنا إلى السعودية بالسلامة ، بعد تسع ساعات عندما خرجنا من المطار انتظر على أخونا كثيرا رأيناه . كما رأينا أمهاتنا . هو أقلنا بالسيارة وعرفنا ، المملكة العربية السعودية والرياض عندما وصلنا إلى جامعة الأميرة نورة إلى ، أعجبت بهذه ، الجامعة إنها الجامعة الكبرى ، في العالم للبنات ، . بعد نصف ساعة وصلنا جامعتنا جامعتنا جميلة وواسعة بسبب الرحلة شعرت بالتعب والنعاس فنمنت مع أصدقائي الأخرين اليوم التالي بدأت رحلتي في السعودية .
47,"رحلتي في الأردن . أن قبل آتي إلى المملكة العربية السعودية قضيت شهرين في الأردن . أظن أن هذا البلد جميل جدا . في أكن البداية لم أتكلم اللغة العربية كثيرا ، ولا أتكلم اللغة الإنجليزية أيضا ، فأنا في معهد لتعليم في اللغة العربية . يوم من الأيام قال صديقي لي : نزور  البحر الميت والبحر الأحمر ، فوافقت ، بعد ذلك استعدينا لزيارتهما ، اخترنا اليوم الذي عندنا وقت فاض فيه ، انطلقنا من الساعة السابعة صباحا ، وبحثنا عن ، سيارة كان إلى ، البحر الميت لكن السعر غاليا جدا في النهاية . بحثنا عن حافلة ، فسعرها مناسب لنا عندما وصلنا إلى البحر الميت , شعرنا بجماله وأحببناه كثيرا جدا . رأينا كثيرا من الناس يلعبون ويسبحون في البحر ، الناس الذين يجيئون من . الأماكن المختلفة أحبوه أيضا ، ، نحن مسرورون بزيارته بعد ، نهاية الزيارة عن وجدنا مشكلة وهي ذلك مشكلة  السكن في الليل وبدأنا  نبحث ، الفندق ، لا ندري الفندق  أننا أين يقع  ، وسألنا الناس وبحثنا من وجدنا الذي الصعب أن نتحدث مع إلى الناس بسبب لا نجيد اللغة العربية واللغة الإنجليزية . في الأخير الشخص فهم ماذا نريد ، وأرشدنا الطريق إلى الفندق ، وقضينا الليل الجميل . اليوم ، التالي قررنا أن نزور البحر الأحمر ، وركبنا الحافلة إلى مدينة العقبة ، هذه المدينة ليست بعيدة عنا - ذلك عندما وصلنا إلى ، المدينة ، في . الأول بحثنا عن الفندق للراحة والنوم - الآن عندنا خبرة لإكمال هذه الأشياء بعد وضعنا حقائبنا في الفندق وذهبنا إلى البحر الأحمر البحر الأحمر ليس ماؤه  أزرقا جدا ، نستطيع أن نرى السمك فيه ، وعدده كبير ، وأشكاله مختلفة ، ويسبح في البحر حرا يكون . نحن لعبنا وسبحنا فيه ، قضينا يوما حلوا وجميلا . اليوم الثاني قررنا أن نرجع شعرنا بسرور في هذه الرحلة ، نتمنى أن عندنا فرصة أخرى لزيارتها ."
48,رحلة إلى مصر . بعد حفلة زواجي ذهبت مع زوجتي إلى مصر ، كانت هذه الرحلة قبل ست سنوات في شهر سبتمبر ، ذهبنا بالشركة ( مكتب خاصة بالرحلات ) اسمها سبيرت تراول من عاصمة . صربيا ما من عندنا كثير الوقت للاستعداد بسبب الحفلة ، أخذنا بعض الملابس والحقائب ، جوازات السفر ، ، تذاكر ، نقود وذهبنا مباشرة إلى مطار نيكولا تيسلا في عاصمة صربيا - . - سافرنا من مدينتي نوفي معنا بازار ، إلى العاصمة بالسيارة ، ركب أخي شقيقي وبعد من العاصمة إلى مصر بالطائرة ، وصلنا إلى مصر في مدينة الغردقة ، في فندق اسمه رومة ، كان ، فندقا ، ممتازا كبيرا ، ونظيفا . وجدنا في الغردقة بحرا جميلا شاطؤه جميل وماؤه نظيف ، ، وجدنا الناس الطيبين ، وجدنا مراعي كثيرة من الحضارة القديمة كان براميل سفر ينغه من وقت فرعون . أكلنا فواكه وخضروات مختلفة ، بعد بضعة أيام توجهنا إلى عاصمة مصر ( القاهرة ، ) ، فيها مساجد كثيرة ، الجامعة المشهورة الأزهر ، الناس الطيبون الشوارع كبيرة وقصيرة ، جزء من مدينة قديمة وجديدة ، وجدنا كثيرا من الآثار الثقافية من وقت قديم . ذهبنا إلى محال تجارية واشترينا بعض الملابس والهدايا للأصدقاء والأقارب . ما عندنا صعوبات في هذه الرحلة ، كانت رحلة ممتعة ومريحة لنفوسنا . بعد اثني عشر يوما رجعنا إلى بلدي ، تكلمنا مع الأصدقاء والأقارب في هذه الرحلة ، كلهم يريدون أن يعرفوا كيف هي مصر ( واحد . من البلدان العربية ، ، كيف ثقافتهم ، ، كيف طعامهم ، كيف لغتهم ) أهم شيء عندي اللغة العربية أحببت اللغة العربية كثيرا وقبل ثلاث سنوات قدمت أوراقي في جامعة الإمام محمد بن سعود الإسلامية .
49,تخصص أصول الدين . بسم الله الرحمن . الرحيم الحمد لله ، رب على العالمين ، والصلاة والسلام سيد ، المرسلين : وعلى آله وصحبه أجمعين فيه أما بعد التخصص الذي ، اختار إكمال الدراسة ؛ بعد معهد تعليم . اللغة العربية هو تخصص أصول الدين لأنه هو أصل الدين ولماذا . اختار تخصص أصول الدين ؟ . 1 - لأنه هو أساس الدين 2 - لكي أعرف العقيدة . الصحيحة 3 - وأن الناس في بلدي بلدي . الناس لا يعلمون عن . الدين والعقائد الصحيحة 4 . - يفرق بين عقيدة . الحق والباطل 5 - أحب . هذا التخصص 6 - فيه القرآن والسنة 7 - لأنه هام جدا 8 - أصول الحياة الدنيا والآخرة
50,خطة حياتي أني محب لديني وخصصا ، وخصوصا  وما يدور حوله . كنت أميل إلى كلية اللغة العربية في بداية دراستي ، وبع وبعد من  غيرت أفكاري . كنت أميل إلى كلية ؛ اللغة لأن القليل من النسا النساء بلدي الذين اللاتي تخرجن هذه الكلية ، وبعد تفكير ، تبين لي أن الذي يحتاج يحتاجه ، في فرنسا أو مسلموا ، مسلمو أوروبا العربية ، ولكن الدين بشكل عام مع أساتذة قادرين على ترجمة كتب الدين إلخ . والذي يتخرج من كلية اللغة قد لا يستطيع أن يترجم كتب كتبا دينية المصطلاحات تختلف . والذي يحتاج يحتاجه هي هو الشرعية أكثر من التعميق التعمق التبحر في العربية وأدبه وأدبها ، ، ، أسئل أسأل أن يزيدنا إخلاصا وتقى وهدى وأن ، يرشدنا على إلى كله في ، . اعتذر أعتذر ، عن خطي ولكن أنا متخصص في بلدي الحساب ولم أستعمل القلم . كثير كثيرا أتعوذ أتعود الكتابة بالقلم سوى بالعربية أو بلغتي الأم الفرنسية
51,كلية الشريعة . أريد أن ألتحق بكلية الشريعة لما فيها من فوائد كثيرة ، فهي كلية تتمكن من فيها فهم ، دين - الله وسنة رسوله - صلى الله . عليه وسلم وأقوال العلماء والفقهاء في بلدنا لا تستطيع أن أن تبين دين الله كما هو إلا تتخصص في الشريعة ؛ لأن الناس يسألون عن كل ، شيء من المسائل الفقهية والفرائض ؛ وغير ذلك لذلك أريد أن أتخصص ، في الشريعة لأن هذه المسائل غالبا توجد في ، الشريعة لذلك أريدها كي . أخرج الناس من الظلمات إلى النور وأبين لهم ، طريق الهدى والرشاد في ؛ بلدنا الناس يحتاجون إلى المتخصصين ، في الشريعة كثيرا يسألونك في كل ، دقيقة وكبيرة لأنهم لم يفهموا ، الإسلام فهما صحيحا وبعضهم لم يدخلوا الإسلام ولكن - يريدون الدخول - يسألونك في شيء ، ، أنت تتعجب منهم إن لم تكن متمكنا في - المسائل الفقهية وكذلك - الفرائض أي علم الفرائض لن تستطيع أن تفهمهم وتقنعهم وتبين لهم هذا الدين الذي جاء ، به نبينا محمد صلى الله عليه وسلم من عند الله سبحانه ، ، وتعالى . زملائي الذين تخرجوا . من كلية الشريعة يتحدثون اللغة العربية بطلاقة إذن في كلية الشريعة تستطيع أن تتمكن في اللغة ؛ العربية من نحو ، وصرف وبلاغة وغير ، ذلك . من المواد اللغوية ، تجد واحدا تخصص في اللغة أحيانا ، وكذلك تجد واحدا في الشريعة . عنده ثقافة كبيرة ومعلومات كثيرة : لأنه يقرأ القرآن والحديث وفي القرآن كل شيء والحديث كذلك والقرآن ، هو أصل اللغة ثم يأتي الحديث في الدرجة الثانية وفي المرتبة الأولى من بين كلام البشر قال النبي صلى الله عليه وسلم ( أنا أفصح العرب الأوائل ) . وزملائي جميعا تخصصوا في الشريعة ولما رجعوا إلى البلد نفعوا الناس كثيرا بعلمهم .
52,السفر لأول مرة إلى خارج . الوطن الحمد لله ، رب العالمين والصلاة والسلام على ، رسول الله محمد ، : صلى الله ، عليه وسلم وبعد  قبل سنتين وبعد التخرج من الثانوية . ، أن أستمر في حياتي التعلمي التعليمية العربية ، وأن يكون هذا التعليم في إحدى الدول ، العربية . بعد فترة التفكير والتغيير الدولة قررت بأن أسافر إلى من المملكة العربية السعودية . إخترنا اخترنا وثلاثة زملائي الرحلة من عن البر والسفر والرحلة تبدأ التركيا تركيا سورية ، من السورية سورية إلى ، ومن الأردن إلى السعدية السعودية نعم ، هذه الرحلة ، كانت أول رحلتي رحلاتي خارج البلدي بلدي رحلة زمنا لأن لأننا أمضينا الطريق ثلاثة أيام . ، كنا نعتقد أن - الرحلة - ستكون مثل الرحلات في داخل البلد لكن أننا عندما بدأنا الرحلة مع طولها قابلنا الصعوبة إلى صعوبات ومصائب . من أكبر مصائب المصائب بثلاثة دول ، وعند كل خروج ودخول ، الدولة كنا نفتح الحقائب لتفتيش الشرطة ، وكنا ننتظر عند كل باب تقريبا ثلاثة ساعات ، وصعوبات أخرى . . بعد هذه الرحلة وعدنا لنفسنا أنفسنا لا نختار السفر من طريق ، البر لا سيما رحلات الرحلات . بعدما وصلنا إلى السعودية بدأنا الإجرائات إجراءات القبول في ا الجامعة عليكم ورحمة الله وبركاته .
53,الكلية التي أحبها . الحمد لله رب ، العالمين والصلاة والسلام على ، سيدنا محمد وعلى آله وصحبه أجمعين . أنا طالب في جامعة الإمام محمد بن سعود ، قد الإسلامية في السعودية كنت درست في معهد تعليم اللغة العربية جامعة ، الإمام محمد بن سعود الإسلامية وبدأت من المستوى الأول حتى انتهيت من المستوى ، الرابع في معهد السنة تعليم اللغة العربية والآن أدرس في دبلوم الأولى . ، إن الكلية التي أحبها هي كلية اللغة العربية إن ، كلية اللغة العربية أفضل من الكليات الأخرى بالنسبة لي السبب الذي ؛ سأدخل لأجله كلية اللغة العربية أو أختار  هذه الكلية لأنني أريد ، أن أفهم القرآن جيدا والأحاديث جيدا ، وأتحدث اللغة العربية . جيدا وأفهم الكتب الكثيرة  المكتوبة باللغة العربية إن شاء ، الله وفي الأخر آخر هو  الله كبيرة كثيرا النعمة نعمة تعالى هي النعمة هي الدين دين .
54,أصول الدين . أرغب في تخصص أصول ، الدين ؛ الناس العقيدة الطحاوية لأن في بلدنا يحتاجون إلى من يعلمهم يعلمها إلى العقيدة الصحيحة ، في الإسلام هذا . أولا فكرت في ، في تخصصي حينما درست هنا في المعهد وأرغب هذا التخصص أن لأن عندي صديق يدرس ، هذا التخصص ، ممكن أستفيد منه ويساعدني ، نعم ويستفيد مني إذا  تخرجت من هذا التخصص .
55,الرحلة إلى مكة المكرمة لأداء العمرة . بسم الله الرحمن الرحيم . الحمد لله رب ، العالمين والصلاة والسلام على - نبينا محمد صلى - الله عليه وسلم وعلى آله وأصحابه ومن تبعهم بإحسان إلى يوم الدين ، أما بعد : في يوم الأربعاء الماضي الموافق 14 ، / 6 / 34 هـ قمنا برحلة إلى مكة المكرمة لأداء العمرة مع بعض الزملاء السعوديين . خرجنا من السكن إلى ، الباص في الساعة الرابعة والنصف فكان ، الباص واقفا على البوابة رقم 4 ثم لما وصلنا إليه وجدنا على بابه رجلا يسأل ، عن الإقامة ، فسألت من هذا الرجل قيل لي : هو المشرف على الرحلة ، فلما وقفت بين يديه ؟ ، : سألني ؟ عن الإقامة قائلا ؟ : أين . : الإقامة قلت ؟ له ما الإقامة قال : ألا تعرفها قلت : لا قال ألا تعرف الإقامة قلت : لا ، يا فضيلة الشيخ الكريم . فقال : إذا : الإقامة هي بطاقة الهوية التي لا يوجد  أي شخص في المملكة العربية السعودية إلا من سمح له بالقدوم إليها ، عندئذ . قلت له : عندي بعض البطاقات ، يمكن ، أن تنظر فيها إن وجد بينهن فأدخلت يدي في جيبيى وأستخرجت واستخرجت البطاقات الموجودة فيه فقلت ها هي البطاقات ، أشار إلى ، واحدة منهن ، قائلا : أعني : بهذه هذه ، : لا تعرف هذه ، ! : نعم أعرفوا أعرفها ما كنت أعرف ، فائدتها . فقال إذا عرفت الآن قلت نعم . ثم سألته هي هل لي السفر بالسفر ، ، قال : أبدا . لا يسمح لك السفر بالسفر بدونها يا الكريم . فقلت له : شكرا لكم يا أخي الفاضل والسلام عليكم ورحمة الله ، وبركاته ثم ركبنا الباصة الباص ، أنا وزملائي السعوديون . فبدأ السائق يسوق الباصة الباص خرجن خرجنا الجامعة بوابة الجامعة رقم ( 3 ) وأخذنا الطريق إلى مكة المكرمة .
56,الرحلة إلى المدينة المنورة . بسم الله الرحمن . الرحيم الحمد لله رب العالمين وصلاة وسلام على ، نبينا محمد وعلى ، آله وأصحابه أجمعين أما بعد ، : إجازة الشتاء قريبة . فأخطط لرحلة إلى ، المدينة المنورة ثم جاءت إجازة الشتاء وسافرت مع أصدقائي إلى المدينة المنورة ، بسيارتي ، استغرقنا ثماني ساعات ، في . ذلك الطريق أحيانا نقف ، ونتأمل المناظر في الصحارى ، وأحيانا نصور بعد وصلنا ، إلى المدينة المنورة أقمنا في الفندق واسترحنا ؛ قليلا ثم ، ، ، ذهبنا إلى - مسجد النبوي عندما - وصلنا إلى المسجد - النبوي فرحنا - فرحا شديدا فهو - كبير جدا - وعظيم . وجميل زرنا قبر النبي ، صلى الله عليه وسلم ، وقبر أبي - بكر الصديق رضي - الله عنه وقبر . عمر بن ، الخطاب رضي الله عنه وسلمنا ، عليهم ثم انطلقنا إلى مسجد قباء وهو . أول المسجد في الإسلام حين وصل النبي صلى الله عليه وسلم ،  إلى المدينة المنورة وصلينا فيه العصر ثم غادرنا وذهبنا إلى مسجد القبلتين . صلينا صلاة التحية ورجعنا إلى الفندق لنتناول العشاء ، في المساء ذهبنا إلى ، الجامعة الإسلامية بالمدينة ، المنورة لنزور أصدقاءنا ، في الجامعة وهم قادونا  للتجول حول الجامعة ، الجامعة لتجول ، بعد صلاة العشاء رجعنا إلى الفندق ثم نمنا في ، اليوم التالي استيقظنا مبكرا لكي نزور جبل أحد وقعت غزوة أحد  هنا صورنا وذهبنا إلى المطعم تناولنا الغذاء مع أصدقائنا بعد الانتهاء صاحبنا أصدقاؤنا إلى أسواق التمور لشراء التمر ثم ودعنا أصدقاءنا الذين يدرسون في الجامعة الإسلامية بالمدينة المنورة وعدنا إلى الرياض .
57,"رحلة التبع . الحمد لله رب العالمين حمدا كثيرا ، وصلى الله على سيدنا محمد وعلى آله وصحبه أجمعين . قام المركز الثقافي ، الإسلامي المملكة ، الهاشمية الأردنية برحلة إلى آثار غزوة مؤتة لطلاب شعب ، الإسلام بجامعة الأردن في عطلة الشتاء عام 2011 م . فأحمد رب العالمين الذي ، أعطاني معرفة عن الدين ، وأعطاني فرصة لأتبع آثار الصحابة رضوان - الله عليهم - . قام عميد المركز الأستاذ أحمد ؛ لي شكري بمسابقة علمية في الطريق ، كانت مفيدة أول مرة أسمع فيها قصصا تاريخية وأسماء كثير من الشهداء . قال الله عز وجل في كتابه : "" كنتم خير أمة ، أخرجت للناس تأمرون بالمعروف وتنهون عن المنكر وتؤمنون بالله في "" لقد ، حقق الصحابة ،  هذا الأمر . حدثت غزوة مؤتة جمادى الأولى 8 هـ الموافق أغسطس 629 م بين ، جيش المسلمين وجيش هرقل . عند مدينة - مؤتة تدفق المسلمون وكان عددهم ثلاثة ألاف ، وعدد الغسانين والروم مئتا ، ألف . اختار المسلمون بقيادة زيد بن ؛ حارثة - الهجوم على المشركين وتم الهجوم بعد صلاة الفجر وكان هجوم اليوم الأول الأول هجوم قويا ولصالح المسلمين بسبب ، أن الروم والغساسنة ، لم يتوقعوا من جيش . صغير البداء البدء . وفي اليوم الثاني ، بادر المسلمين المسلمون ، بالهجوم وكان من لصالح ، وقتل كثير من ، الروم وحلفائهم إلى اليوم الثالث . حيث ، الروم بالهجوم وكان أصعب وأقوى الأيام وفيه استشهد زيد ، بن حارثة وجعفر بن أبي طالب وعبد ، الله بن رواحة . واختار ، خالد بن الوليد قائدا لهم . زرنا آثار غزوة وقبر الغزوة وقبور في المساء . تمت الرحلة بحمد الله ورجعنا على السلامة بالسلامة"
58,"الدعوة إلى الله . هي رغبتي انتشار الإسلام بالدعوة في دولتي قرغيزستان لانتشار العقيدة السليمة ، والعلم ، وإزالة العادات الخسيسة ؛ فأريد أن أدرس في كلية أصول الدين . فمن العادات المنتشرة زيارة القبور ، والوليمة للموتى , ، وبعض الشرك . منذ الصغر اخذني خالي أخذني القران لتعلم القرآن ، و ، لي وبين الله , و ما ، وما و هو متخرج ، وهو بالمدينة المنورة . الجامعة الإسلامية عن فضل ، ويشجعني أعده على من ثوابه وما قص تاريخ الصحابة مع كيفية لي ، وقص واجههم , و تركوا اسرتهم لنشر وما و عندي ، وتركوا في أسرهم امام محمد بن وعندي و يساعدونني في كل أحوال ، ويساعدونني"
59,"الزيارة . الحمد لله وبه أستعين ، وبعد أحكي لكم المهمة التي قمت بها ، في ، الإجازة زرت الأقارب ، وأدركتهم في البدعة ونصحتهم إلى أن الصواب . وجعلت البرنامج ألقي المحاضرة عقب كل الصلاة في الموضوع موضوع الصحيحة , ، والحمد لله المحاضرة للمحاضرة . دقيقا , ، والآن غيروا سلوكهم وقت رمضان أشاركهم شاركتهم الإفطاروهم الإفطار وكانوا مسرورين ، الله _  الثبات بالثبات وكذلك أنسى خادم الحرمين الذين الذي يهيء هذه هذا لإستزاد لزيادة وأشكرهم شكرا جزيلا ."
60,قاض . أنا أريد أن أدرس في كلية . الشريعة أنا أحب . مادة الفقه أصبح أن في المستقبل أريد قاض وأستاذا في . بلدي ان إن الله
61,الرحلة الأولى إلى مكة المكرمة لأداء الحج . الحمد لله والصلاة والسلام على نبينا محمد وعلى آله وأصحابه أجمعين أما بعد ، كل إنسان لديه ، همة ، أو خطة أو حلم . طبعا لدي همة عظيمة وقد حققت هذه الهمة قبل سنتين بعون الله تعالى ، وهي رحلة إلى مكة المكرمة لرؤية الكعبة المشرفة . أتذكر واضحا عندما كنت صغيرا أنه من عمري عرفت ، هناك يوجد مكان مقدس جعل الله ، قلوب المسلمين في مكة المكرمة وهو أقدس وأطهر بيت في الأرض . ولما عرفت هذا دخلت في المدرسة الإسلامية من أجل دراسة المعلومات أكثر ودراسة العلوم الإسلامية مع نية السفر إلى مكة المكرمة لتحقيق همتي . وهكذا درست في المدرسة سنة بعد سنة حتى قبلت في الجامعة وأتيت إلى الجامعة فرحا وسعيدا ، وسجلت اسمي مسافرا إلى مكة المكرمة في لأداء فريضة الحج مع الجامعة . الأيام القريبة من موسم الحج كنت مستعدا من كل المستلزمات ، إلى أن تأتينا الرحلة الرسمية ، وسافرت مع زملائي متجها إلى مكة ، وكانت الرحلة مريحة وممتعة ، رأيت الصحراء والإبل أثناء السفر ، حتى وصلنا إلى ميقات الإحرام بعد ساعات وأحرمنا بالشرعية المطلوبة ، ثم استمر السفر ، حتى وصلنا إلى مكة دخلت كنت إلى المسجد ، الحرام عندما رأيت الكعبة المشرفة من ، بعيد أبكي خوفا وسرورا ذلك الشعور لا أعرف كيف . أصفه بالكلمات ثم بقيت في مكة تقريبا سبعة أيام وأديت فريضة الحج نعم أن هذه الرحلة كرحلة الموت لكني ذقت الحلو منها .
62,الشريعة الإسلامية ، مقصدي . هنا أنا أرغب في الالتحاق بكلية الشريعة إن ؛ شاءالله شاء الله الشريعة الإسلأمية . الإسلامية حياتي
